Sample_ID,Subgroups
AA1,III
AA2,III
AA3,III
AA4,III
AA6,III
AA7,III
AA8,III
AA9,IIb
AB1,III
AB2,III
AB3,III
AB4,rest
AB5,III
AB6,III
AB7,III
AB9,IIb
AC1,III
AC2,rest
AC3,III
AC4,III
AC5,III
AC6,III
AC7,III
AC8,III
AC9,III
AD2,IIb
AD3,III
AD4,IIb
AD5,III
AD6,III
AD7,IIa
AD8,III
AE1,III
AE2,III
AE3,III
AE4,III
AE6,IIa
AE7,III
AE8,III
AE9,III
AF1,III
AF2,III
AF3,III
AF4,III
AF5,rest
AF6,III
AF7,IIa
AF8,rest
AF9,III
AG1,IIa
AG2,III
AG3,III
AG4,III
AG5,IIb
AG6,IIb
AG8,IIb
AG9,III
AH1,IIb
AH2,III
AH3,IIb
AH4,III
AH5,rest
AH6,III
AH7,IIb
AH8,IIb
AI1,III
AI2,III
AI3,IIb
AI4,III
AI5,III
AI6,III
AI7,III
AI8,III
AI9,III
AJ1,IIa
AJ2,III
AJ3,III
AJ5,III
AJ6,III
AJ7,III
AJ8,III
AJ9,III
AK1,III
AK2,III
AK3,III
AK4,III
AK5,rest
AK6,III
AK7,III
AK8,III
AK9,III
AL1,III
AL2,III
AL3,III
AL4,III
AL5,rest
AL6,III
AL7,rest
AL8,III
AL9,III
AM1,III
AM2,III
AM3,III
AM4,III
AM5,IIa
AM6,IIa
AM7,III
AM8,III
AN1,III
AN2,rest
AN3,III
AN4,III
AN5,III
AN6,IIb
AN7,rest
AN8,rest
AN9,III
AO1,III
AO2,III
AO3,III
AO4,rest
AO6,III
AO7,III
AO8,rest
AO9,III
AP1,IIb
AP2,III
AP3,III
AP4,III
AP6,III
AP8,III
AQ1,IIb
AQ2,IIb
AQ3,III
AQ4,III
AQ5,III
AQ6,III
AQ7,IIb
AQ8,III
AR1,IIa
AR2,IIb
AR3,III
AR4,IIb
AR5,III
AR6,III
AR7,IIb
AR8,IIa
AR9,IIa
AS1,rest
AS4,III
AS5,III
AS6,IIb
AS7,III
AS8,III
AS9,III
AT1,rest
AT2,III
AT3,III
AT4,III
AT6,III
AT7,IIa
AT8,IIa
AT9,III
AU1,III
AU2,III
AU3,III
AU6,III
AU7,III
AU8,IIb
AU9,III
AV1,III
AV2,III
AV4,III
AV5,rest
AV6,III
AV7,III
AV8,III
AV9,rest
AW1,III
AW2,rest
AW3,rest
AW4,III
AW5,rest
AW7,III
AW8,IIa
AW9,IIb
AX1,III
AX2,III
AX3,III
AX5,III
AX6,III
AX7,III
AX8,III
AX9,III
AY1,III
AY2,III
AY3,III
AY6,III
AY7,III
AY8,rest
AY9,III
AZ1,III
AZ2,III
AZ3,III
AZ4,III
AZ5,IIa
AZ6,III
AZ8,III
AZ9,III
BA1,IIa
BA2,IIa
BA3,III
BA5,III
BA6,III
BA7,III
BA9,IIb
BB1,III
BB2,rest
BB3,III
BB4,III
BB5,III
BB6,III
BB7,III
BB9,III
BC1,III
BC2,III
BC3,III
BC4,III
BC5,III
BC6,III
BC7,rest
BC8,III
BC9,III
BD1,III
BD2,III
BD3,rest
BD5,III
